"wbs_id","fy","labor_cost","material_cost","integration_cost","total_cost","labor_cost_usd","material_cost_usd","integration_cost_usd","total_cost_usd","cost_scope","basis_type","source_id","traceability_note"
"1.11","FY2026","26.6","7.6","3.8","38","26600000","7600000","3800000","38000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2027","24.5","7","3.5","35","24500000","7000000","3500000","35000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2028","22.4","6.4","3.2","32","22400000","6400000","3200000","32000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2029","19.6","5.6","2.8","28","19600000","5600000","2800000","28000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2030","15.4","4.4","2.2","22","15400000","4400000","2200000","22000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2031","12.6","3.6","1.8","18","12600000","3600000","1800000","18000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2032","7","2","1","10","7000000","2000000","1000000","10000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.11","FY2033","3.5","1","0.5","5","3500000","1000000","500000","5000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2026","15.4","4.4","2.2","22","15400000","4400000","2200000","22000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2027","38.5","11","5.5","55","38500000","11000000","5500000","55000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2028","82.6","23.6","11.8","118","82600000","23600000","11800000","118000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2029","78.4","22.4","11.2","112","78400000","22400000","11200000","112000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2030","82.6","23.6","11.8","118","82600000","23600000","11800000","118000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2031","89.6","25.6","12.8","128","89600000","25600000","12800000","128000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2032","94.5","27","13.5","135","94500000","27000000","13500000","135000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
"1.12","FY2033","70","20","10","100","70000000","20000000","10000000","100000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Annual current-cost phasing in explicit dollars. Legacy component fields remain in USD millions for backward compatibility with the local app server."
