"wbs_id","element_name","cost_type","base_cost","low_cost","high_cost","fiscal_year","contractor","notes","start_fy","end_fy","value_units","base_cost_usd","low_cost_usd","high_cost_usd","cost_scope","basis_type","source_id","methodology_note","traceability_note","confidence_level"
"1.6.3","Xenon Propellant Storage and Transfer","Non-Recurring","78","65","118","FY2022-FY2029","Thales Alenia Space","High-pressure xenon tanks, transfer lines, on-orbit demo system; technology development required.","2022","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","78000000","65000000","118000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.6.4","Deep Space Optical Communications Terminal","Non-Recurring","50","42","80","FY2022-FY2029","ESA / OHB","Laser comm terminal; multi-Gbps potential; OHB Germany subcontract.","2022","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","50000000","42000000","80000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.6.5","ESPRIT Docking Ports and Interface Hardware","Non-Recurring","32","27","50","FY2021-FY2028","Thales Alenia Space","Passive IDS-compatible docking ports; structural and fluid pass-through interfaces.","2021","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","32000000","27000000","50000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.6.6","ESPRIT Ground Segment Support","Non-Recurring","19","15","32","FY2022-FY2030","ESA / ESOC","ESA ground support for ESPRIT operations; refueling mission planning; ESOC integration.","2022","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","19000000","15000000","32000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-011;WEB-012","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.7","Lunar Airlock","Non-Recurring","195","159","307","FY2024-FY2031","MBRSC - TAS","Program-reference value for the UAE Crew and Science Airlock contribution. Treat as contribution context for ecosystem understanding, not as NASA budget authority.","2024","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","195000000","159000000","307000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium_low"
"1.7.1","Airlock Primary Structure and Pressure Vessel","Non-Recurring","40","33","62","FY2024-FY2028","Thales Alenia Space","Double-hatch pressure vessel; ASME-compliant for EVA depressurization/repressurization cycles.","2024","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","40000000","33000000","62000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.7.2","EVA Support Systems","Non-Recurring","36","30","57","FY2024-FY2030","Thales Alenia Space","Suit donning aids, tether points, tool storage, suit interface panels.","2024","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","36000000","30000000","57000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.7.3","Airlock Docking and Berthing Interface","Non-Recurring","30","25","47","FY2024-FY2029","Thales Alenia Space","IDS-compatible structural interface and electrical pass-throughs.","2024","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","30000000","25000000","47000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.7.4","Airlock Avionics and Control Systems","Non-Recurring","35","28","55","FY2024-FY2030","Thales Alenia Space","Pressure control avionics, hatch actuators, safety interlocks; radiation-tolerant electronics.","2024","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","35000000","28000000","55000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.7.5","Airlock Safety and Emergency Systems","Non-Recurring","20","16","32","FY2025-FY2030","MBRSC","Emergency relief valves, fire suppression, abort repressurization.","2025","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","20000000","16000000","32000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.7.6","Airlock Crew Equipment and Stowage","Non-Recurring","20","16","32","FY2025-FY2031","MBRSC","EVA stowage, crew restraints, consumables; MBRSC-furnished equipment.","2025","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","20000000","16000000","32000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.7.7","Airlock Thermal Control System","Non-Recurring","14","11","22","FY2025-FY2029","Thales Alenia Space","Thermal control for airlock structure and EVA equipment; heaters, MLI, Gateway interface.","2025","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","14000000","11000000","22000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-005","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.8","Canadarm3","Non-Recurring","982","845","1396","FY2020-FY2031","CSA - MDA Space","Program-reference value for the Canadarm3 contribution using Canadian public investment references and public design-phase award anchors. Treat as partner-reference scope, not as NASA budget authority.","2020","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","982000000","845000000","1396000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium_low"
"1.8.1","Canadarm3 Large Arm","Non-Recurring","328","285","452","FY2020-FY2030","MDA Space","17m large robotic arm; 7 degrees of freedom; crawling capability across all Gateway base points.","2020","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","328000000","285000000","452000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.8.2","Canadarm3 Small Dexterous Arm","Non-Recurring","255","222","358","FY2020-FY2030","MDA Space","Fine manipulation arm; SSRMS-class heritage; AI-enabled servicing operations.","2020","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","255000000","222000000","358000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.8.3","External Robotic Interfaces and Base Points","Non-Recurring","138","120","195","FY2021-FY2030","MDA Space","Latching end effectors, power/data/video on all modules; interface with all Gateway elements.","2021","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","138000000","120000000","195000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.8.4","Canadarm3 Ground Control Systems","Non-Recurring","108","92","158","FY2022-FY2031","CSA","Canadian ground segment, operator workstations, training simulators at Saint-Hubert.","2022","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","108000000","92000000","158000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.8.5","Canadarm3 Software and Artificial Intelligence","Non-Recurring","108","88","165","FY2021-FY2030","MDA Space","Autonomous ops software, AI inspection, anomaly detection; high TRL risk justifies wide range.","2021","2030","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","108000000","88000000","165000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.8.6","Canadarm3 Integration and Verification","Non-Recurring","45","38","68","FY2027-FY2031","MDA Space","End-to-end integration, acceptance testing, flight certification, and delivery for Gateway installation on Artemis V.","2027","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","45000000","38000000","68000000","program_reference_partner_value","partner_reference_plus_integration_estimate","INT-001;WEB-008;WEB-009","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium_low"
"1.9","Integration Assembly and Test","Non-Recurring","388","320","597","FY2023-FY2031","NASA JSC / NGIS","IA&T at NGIS Gilbert AZ and KSC; government oversight plus contractor labor. Scaled from ISS element integration adjusted for single stack and shorter program.","2023","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","388000000","320000000","597000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium"
"1.9.1","PPE-HALO Mechanical Integration","Non-Recurring","82","68","122","FY2024-FY2026","Northrop Grumman","NGIS Gilbert AZ integration facility; PPE delivered by Maxar; mate, fit-check, interface testing.","2024","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","82000000","68000000","122000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.9.2","Environmental Testing","Non-Recurring","88","72","135","FY2024-FY2026","NASA JSC / NGIS","Acoustic, vibration, thermal vacuum, EMC/RF testing of integrated PPE-HALO stack.","2024","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","88000000","72000000","135000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.9.3","Hazardous Operations","Non-Recurring","48","40","75","FY2026-FY2027","Northrop Grumman / SpaceX","Xenon loading, RCS propellant fueling, high-pressure servicing at NGIS and KSC.","2026","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","48000000","40000000","75000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.9.4","System Integration Testing","Non-Recurring","60","50","92","FY2024-FY2026","NASA JSC","End-to-end avionics/software interface test, sim scenarios; JSC simulation facility.","2024","2026","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","60000000","50000000","92000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.9.5","Pre-Launch Processing at Launch Site","Non-Recurring","48","40","75","FY2026-FY2027","SpaceX / NASA KSC","KSC processing, Falcon Heavy payload integration, encapsulation; PHSF facility.","2026","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","48000000","40000000","75000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.9.6","Ground Support Equipment and Facilities","Non-Recurring","32","26","50","FY2020-FY2027","NASA / NGIS","Test stands, handling fixtures, clean rooms, electrical GSE; NGIS and KSC government-furnished.","2020","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","32000000","26000000","50000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.9.7","Contamination Control","Non-Recurring","18","14","28","FY2022-FY2027","NASA JSC","Cleanliness verification, particulate/molecular contamination monitoring, purge systems.","2022","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","18000000","14000000","28000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.9.8","Launch Site Hazardous Servicing","Non-Recurring","12","10","20","FY2026-FY2027","SpaceX / NASA KSC","PHSF operations, range safety compliance, propellant handling safety, crew emergency procedures.","2026","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","12000000","10000000","20000000","program_reference_nasa_led","facility_test_build_up","INT-003;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.10","Launch Services","Non-Recurring","557","512","790","FY2021-FY2031","SpaceX / NASA","Falcon Heavy ($331.8M); SLS I-HAB integration costs; ESPRIT commercial launch; UAE Airlock launch; KSC ops and range safety.","2021","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","557000000","512000000","790000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium"
"1.10.1","PPE-HALO Launch (Falcon Heavy Block 5)","Non-Recurring","332","332","398","FY2021-FY2027","SpaceX","$331.8M firm-fixed-price; NET April 2027 from KSC LC-39A. Source: NASA press release February 9, 2021.","2021","2027","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","332000000","332000000","398000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","high"
"1.10.2","I-HAB Launch (SLS Block 1B - Artemis IV)","Non-Recurring","0","0","0","FY2024-FY2028","NASA / Boeing","SLS cost captured in Artemis SLS/Orion program; Gateway bears only co-manifest integration costs (~$42M captured under 1.5.7).","2024","2028","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","0","0","0","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.10.3","ESPRIT Lunar View Launch (Commercial)","Non-Recurring","85","72","145","FY2027-FY2029","SpaceX (TBC)","Commercial launch estimate; contract TBD; Falcon 9 Heavy analog to similar mass class; NET 2029.","2027","2029","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","85000000","72000000","145000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.10.4","UAE Airlock Launch (Artemis VI or Commercial)","Non-Recurring","95","72","175","FY2028-FY2031","NASA / TBD","Launch TBD; co-manifested SLS Artemis VI or dedicated commercial; upper bound assumes dedicated heavy lift.","2028","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","95000000","72000000","175000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.10.5","KSC Payload Processing and Launch Site Operations","Non-Recurring","32","26","50","FY2025-FY2031","NASA KSC","KSC processing contractor support, payload processing facility use, logistics for all Gateway launches.","2025","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","32000000","26000000","50000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.10.6","Launch Site Range Safety","Non-Recurring","13","10","22","FY2025-FY2031","NASA KSC / USAF","Range safety documentation, FTS certification, range scheduling, launch weather assessment.","2025","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","13000000","10000000","22000000","program_reference_nasa_led","launch_service_and_campaign_estimate","WEB-004;INT-003","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.11","Ground Systems","Non-Recurring","348","289","530","FY2020-FY2033","NASA JSC / JPL / GSFC","Mission control, DSN, FDF; scaled from Orion/SLS ground systems investment adjusted for Gateway-specific requirements.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","348000000","289000000","530000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium"
"1.11.1","Gateway Mission Control Center","Non-Recurring","105","88","158","FY2020-FY2033","NASA JSC","MCC-H Gateway flight control room; ~50 controller workstations; staffing for crewed missions.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","105000000","88000000","158000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.11.2","Deep Space Network Integration","Non-Recurring","75","62","112","FY2021-FY2033","NASA JPL","DSN Ka/X-band certification, contact time allocation, scheduling agreements.","2021","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","75000000","62000000","112000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.11.3","Flight Dynamics Facility","Non-Recurring","65","55","98","FY2021-FY2033","NASA GSFC","NRHO trajectory determination, stationkeeping maneuver planning, conjunction assessment.","2021","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","65000000","55000000","98000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.11.4","Mission Data Management Systems","Non-Recurring","52","43","80","FY2020-FY2033","NASA JSC","Telemetry processing, data archiving, science downlink, software upload capability.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","52000000","43000000","80000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.11.5","International Partner Ground System Interfaces","Non-Recurring","32","26","50","FY2021-FY2033","NASA JSC","Network connections, data agreements with ESA/JAXA/CSA/MBRSC control centers.","2021","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","32000000","26000000","50000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.11.6","Cybersecurity and Information Assurance","Non-Recurring","19","15","32","FY2022-FY2033","NASA JSC","Cybersecurity architecture, FISMA accreditation (ATO), intrusion detection, IA for Gateway systems.","2022","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","19000000","15000000","32000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12","Mission Operations","Non-Recurring","788","651","1167","FY2026-FY2033","NASA JSC","Crewed mission operations Artemis IV through FY2033; scaled from ISS operations at 10% intensity ratio.","2026","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","788000000","651000000","1167000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium"
"1.12.1","Flight Operations Team","Non-Recurring","265","218","388","FY2026-FY2033","NASA JSC","Flight directors, controllers, 24/7 shifts for crewed missions; ~300 peak personnel.","2026","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","265000000","218000000","388000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12.2","Crew Training and Procedures","Non-Recurring","135","112","198","FY2025-FY2033","NASA JSC","Gateway systems training, EVA training, emergency procedures, simulator development.","2025","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","135000000","112000000","198000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12.3","Mission Planning and Sequencing","Non-Recurring","105","88","155","FY2026-FY2033","NASA JSC","Timeline development, constraint management, real-time mission support.","2026","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","105000000","88000000","155000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12.4","Science and Payload Operations","Non-Recurring","88","72","132","FY2028-FY2033","NASA JSC","Payload scheduling, data return planning, science team coordination.","2028","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","88000000","72000000","132000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12.5","International Operations Coordination","Non-Recurring","138","115","202","FY2026-FY2033","NASA JSC","Multi-center joint ops with ESA/JAXA/CSA/MBRSC; translation, joint training, real-time coordination.","2026","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","138000000","115000000","202000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12.6","Crew Health and Medical Operations","Non-Recurring","22","18","35","FY2026-FY2033","NASA JSC","Crew health monitoring, cis-lunar radiation countermeasures, telemedicine protocols, flight surgeon support.","2026","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","22000000","18000000","35000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12.7","Visiting Vehicle Operations Support","Non-Recurring","22","18","35","FY2026-FY2033","NASA JSC","Approach corridor management, Orion and HLS docking coordination, visiting vehicle monitoring.","2026","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","22000000","18000000","35000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.12.8","Uncrewed Autonomous Operations","Non-Recurring","13","10","22","FY2027-FY2033","NASA JSC","Ground-in-the-loop between-mission operations; anomaly response, stationkeeping, system health monitoring.","2027","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","13000000","10000000","22000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;WEB-007","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
